[2025-07-10 14:19:34.717]  mA
[2025-07-10 14:20:23.990] Set: -11 V,  HV: -1 V,  I: 0.00 mA
[2025-07-10 14:20:24.191] Set: -9 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:24.398] Set: 47 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:24.589] Set: 52 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:24.790] Set: 50 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:25.004] Set: 63 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:20:25.204] Set: 51 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:25.406] Set: 56 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:20:25.610] Set: 7 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:25.808] Set: -1 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:26.011] Set: 12 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:26.216] Set: 82 V,  HV: 1 V,  I: -0.00 mA
[2025-07-10 14:20:26.417] Set: 77 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:20:26.617] Set: 86 V,  HV: 1 V,  I: -0.00 mA
[2025-07-10 14:20:26.818] Set: 15 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:20:27.021] Set: 23 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:27.221] Set: 26 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:27.419] Set: 20 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:27.620] Set: 18 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:27.827] Set: 13 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:28.031] Set: 23 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:28.234] Set: 89 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:20:28.433] Set: 87 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:28.628] Set: 88 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:28.835] Set: 17 V,  HV: -1 V,  I: 0.00 mA
[2025-07-10 14:20:29.031] Set: 11 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:29.239] Set: 15 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:29.447] Set: 28 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:29.644] Set: 37 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:29.845] Set: 33 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:30.052] Set: 70 V,  HV: 0 V,  I: 0.00 mA
