Time,PMON 1 (C),PMON_2 (C),PMON_3 (C),PMON_4 (C),PMON_5 (C),PMON_6 (C)
16:24:02,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:24:02,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:24:03,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:24:03,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:24:04,35.72,DISCONNECTED,23.74,22.71,25.07,DISCONNECTED
16:24:04,35.72,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:05,35.72,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:05,35.72,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:06,35.72,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:07,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:07,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:08,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:08,35.72,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:09,35.72,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:09,35.72,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:10,35.72,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:10,35.72,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:11,35.72,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:11,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:12,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:12,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:13,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:14,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:14,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:15,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:15,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:16,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:16,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:17,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
16:24:17,35.71,DISCONNECTED,23.74,22.65,25.07,DISCONNECTED
